"berkalikali","berulang"
"kerjasamanya","kerjasamanya"
"ajuam","ajam"
"brg","barang"
"smp","smp"
"bener","benar"
"br","baru"
"kemarintapi","kemarin"
"kadaluarsasaya","kadaluarsanya"
"kalobukti","kalau bukti"
"jugatp","juga"
"responpayahuang","sepengetahuan"
"segitu","segitu"
"minsampe","sampai"
"nasinnyatolong","lainnyayang"
"halhal","hal"
"sensitifjangan","sensitifnya"
"duitkecewa","kecewa"
"appnya","aplikasi nya"
"terlog_out","terlog_out"
"tangepin","tanggapi"
"terconfirmasi","terkonfirmasi"
"sihh","sih"
"gitu","gitu"
"mb","mb"
"bugnya","bug"
"didaftarin","didaftarkan"
"appwasting","wasting"
"quota","quota"
"sdikit","sedikit"
"kmajuan","kemajuan"
"skrng","sekarang"
"jwab","jawab"
"srius","serius"
"block","block"
"skalian","kalian"
"kecewashrus","kecewa"
"bankd","bank"
"britahukan","beritahukan"
"sblum","sebelum"
"transaksibukan","transaksional"
"pmberitahuansehingga","pemberitahuannya"
"rektp","rekap"
"msk","masuk"
"lapakdan","lapak dan"
"tanggapipdahal","tanggapan"
"krm","karena"
"emailsangat","email"
"kadalwarsa","kadaluarsa"
"anjirr","anjir"
"selesaiudh","selesai"
"suport","support"
"responkerjanya","bekerjanya"
"leletkurang","lambat berkurang"
"pengaduannyaudh","pengaduannya"
"responnyajembut","responnya"
"ngubungin","hubungkan"
"complenan","komplain"
"makasih","makasih"
"nggk","tidak"
"ane","saya"
"nggak","tidak"
"ngapa","mengapa"
"ngapain","apa"
"tt","tt"
"worst","worst"
"trading","trading"
"ever","ever"
"pembayaranya","pembayarannya"
"gga","tidak"
"balikin","kembalikan"
"woyyy","woy"
"guee","gue"
"lu","lu"
"bankrut","bangkrut"
"berlaku","berlaku"
"baranggda","barangnya"
"konfrimasi","konfirmasi"
"pemberitahuannya","pemberitahuannya"
"bangke","bangka"
"redmi","redmi"
"knapa","kenapa"
"cht","chat"
"inviet","invite"
"transaksik","transaksi"
"sm","sama"
"hr","harus"
"ngerti","mengerti"
"nambah","tambah"
"profile","profile"
"unfortunately","unfortunately"
"device","device"
"asus","asus"
"zenfone","zebfone"
"max","max"
"zctl","zat"
"diinstaal","install"
"transver","transfer"
"terakir","terakhir"
"whatsp","whatsapp"
"fb","facebook"
"komen","komentar"
"tegaa","tegas"
"amel","apel"
"amalia","amalia"
"batalin","batalkan"
"plsa","pulsa"
"nmer","nomer"
"tu","itu"
"lengkapgak","lengkaplah"
"visa","visa"
"dibales","dibalas"
"apk","apk"
"servernya","server"
"token","token"
"tokennya","tokennya"
"nerima","terima"
"pon","pon"
"tulalit","tulalit"
"kompirmasi","konfirmasi"
"cmn","cuma"
"akhirx","akhir"
"kadarwasa","kadaluarsa"
"hmpir","hampir"
"ramadha","ramadhan"
"akn","akan"
"spy","supaya"
"gmn","bagaimana"
"pt","pt"
"sdah","sudah"
"truss","terus"
"brang","barang"
"kadarluarsa","kadaluarsa"
"tndak","tidak"
"diaminkami","diamankan"
"emal","email"
"penyelesainnya","penyelesaiannya"
"tz","tz"
"dibekuinsial","dibekukan"
"dahpromo","promo"
"bekuin","bekukan"
"kecewatolong","kecewa"
"pembayatan","pembayaran"
"jugasampai","juga"
"sayasekali","saya sekali"
"initolong","tolong"
"case","case"
"motomo","motor"
"mirror","mirror"
"pdhal","dapahal"
"responding","responden"
"dihp","di hp"
"android","android"
"oktacore","oktacore"
"bgtga","banget"
"bobrokmending","jelek"
"bayartransfer","bayar transfer"
"dibatalkantempo","dibatalkan"
"pmbyaran","pembayaran"
"hbs","habis"
"kmana","kemana"
"sayahub","saya hubungi"
"byak","biak"
"nipu","tipu"
"boro","boro"
"disappointed","disappointing"
"recomended","recommended"
"ramahpromonya","promo"
"okecuma","oke hanya"
"bukareksa","bukareksa"
"bukaemasmasih","bukaemas masih"
"web","web"
"desktop","desktop"
"tar","tar"
"hatihati","hatihati"
"krna","karena"
"betransaksi","bertransaksi"
"seblum","sebelum"
"sebelm","sebelum"
"org","orang"
"pny","punya"
"pemasangan","pemasangan"
"tawarkan","tawarkan"
"wauw","wau"
"mengecewakannyesel","mengecewakan"
"guauang","gunung"
"ditranfer","ditransfer"
"janjin","janin"
"pasword","password"
"brgsrh","brush"
"tranfersdh","transfer sudah"
"dtrsfer","ditransfer"
"blsanya","balasannya"
"abistp","habis"
"gda","tidak ada"
"kbrklo","kabar jika"
"dpajangbkin","dipasangkan"
"kcwa","kecewa"
"connect","connect"
"full","full"
"fc","fc"
"overload","overload"
"ato","atau"
"apayg","apa yang"
"pst","pasti"
"aq","saya"
"pelanggantransfer","pelanggan transfer"
"jgsampe","sampai"
"kadaluwarsatolong","kadaluarsa"
"blgbsiinv","blasting"
"sampsi","sampai"
"sekarabg","sekarang"
"blffwyinv","blowin"
"thd","terhadap"
"follow","follow"
"pngen","pengen"
"bafus","bagus"
"pengunaan","penggunaan"
"saldobuka","saldo buka"
"kekuranganya","kekurangannya"
"toatrimakasih","terimakasih"
"lamapadahal","padahal"
"transferkadang","transferkan"
"kadaluarsakecewa","kadaluarsa"
"kog","kok"
"kawasaki","kawasaki"
"ninja","ninja"
"rr","rr"
"kox","kok"
"weeee","eeeee"
"pdhl","padahal"
"bca","bca"
"mls","malas"
"gajelas","tidak jelas"
"tf","transfer"
"vetifikasi","verifikasi"
"zonkguck","konghucu"
"sekarng","sekarang"
"dikirimlama","dikirimlah"
"kl","jika"
"gt","gitu"
"sekedar","sekedar"
"lainselain","selain"
"ditempatlewat","ditempatkan"
"telatudah","terlambat"
"yessehari","sehari"
"nyampenyataa","penyataan"
"haripayah","daripada"
"ngerespon","merespon"
"verivikasi","verivikasi"
"digubungi","dihubungi"
"yha","ya"
"bukalapaknya","bukalapaknya"
"benerin","benerin"
"negonya","negonya"
"dongg","dong"
"konfirm","konfirmasi"
"dikecewain","dikecewakan"
